     41 | twitter  | terremot | chajongiron            |    52 | rt @el_periodico: terremoto en guatemala deja al menos 39 muertos. | [video] http://t.co/ro5miqjq                                           
     42 | twitter  | terremot | amunoz_tico            |    66 | \u201c@nacion: terremoto en guatemala deja 39 muertos y decenas de desaparecidos  http://t.co/symjx2fr\u201d                                
     43 | twitter  | terremot | receptornot            |    64 | otto p\xe9rez eleva a 48 los muertos por el terremoto en guatemala: el presidente de guatemala\u2026 http://t.co/t2i4olry                   
     44 | twitter  | earthquake | SANTOFIELD             |    69 | guatemala quake kills 39, injures 155: &lt;strong&gt;guatemala city (nov 7, 2012)&lt;/strong&gt;: a 7.4-magnitude earthquake struck off the pacif...
     45 | twitter  | earthquake | UncleBobz              |   109 | the remains of at least nine people who were killed in the japanese earthquake and tsunami last year were given over to the wrong families. 
     46 | twitter  | earthquake | drivinfar              |   500 | rt @choiceznewz: track aftershocks on #bc's recent #earthquake. intel from the last 30 days c/o @canadaquakes| http://t.co/hmnnedes rt @ ...
     47 | twitter  | earthquake | CEOConfidential        |    12 | the remains of at least nine people who were killed in the japanese earthquake and tsunami last year were given over to the wrong families. 
     48 | twitter  | gempa bumi | GathyQueen             |   164 | :( rt \u201c@sindoradiofm: 39 orang tewas pasca gempa bumi berkekuatan 7,4 sr yang mengguncang pesisir pasifik guetamala\u201d              
     49 | twitter  | earthquake | LadyValen14            |    20 | rt @quakestoday: 5.1 magnitude earthquake. south indian ocean. details @ http://t.co/bvtcfrms                                               
     50 | twitter  | earthquake | rozsyX                 |   259 | #earthquake magnitude\xa0\xa0mb 4.8region\xa0\xa0offshore chiapas, mexicodate time\xa0\xa02012-11-08   02:27:14.0 utclocation\xa0\xa014.... http://t.co/lnlhhpfh
     51 | twitter  | earthquake | rickywn936             |   129 | dozens killed in guatemala earthquake: quake registering 7.4 magnitude leaves at least 48 people dead and many m... http://t.co/swllusov    
     52 | twitter  | earthquake | rozsyX                 |   259 | #earthquake magnitude\xa0\xa0ml 2.0region\xa0\xa0western turkeydate time\xa0\xa02012-11-08   03:10:17.3 utclocation\xa0\xa038.95 n ; 27.... http://t.co/zem0ok3a
     53 | twitter  | earthquake | rozsyX                 |   259 | #earthquake magnitude\xa0\xa0mb 5.1region\xa0\xa0south indian oceandate time\xa0\xa02012-11-08   03:24:29.0 utclocation\xa0\xa036.37 s ;... http://t.co/71xt2s7i
     54 | twitter  | earthquake | RosadyF                |    12 | #earthquake magnitude\xa0\xa0mb 4.8region\xa0\xa0offshore chiapas, mexicodate time\xa0\xa02012-11-08   02:27:14.0 utclocation\xa0\xa014.... http://t.co/ukdjcw3p
     55 | twitter  | earthquake | RosadyF                |    12 | #earthquake magnitude\xa0\xa0ml 2.0region\xa0\xa0western turkeydate time\xa0\xa02012-11-08   03:10:17.3 utclocation\xa0\xa038.95 n ; 27.... http://t.co/3zdpjcqy
     56 | twitter  | earthquake | RosadyF                |    12 | #earthquake magnitude\xa0\xa0mb 5.1region\xa0\xa0south indian oceandate time\xa0\xa02012-11-08   03:24:29.0 utclocation\xa0\xa036.37 s ;... http://t.co/3yrlsqhn
     57 | twitter  | earthquake | TheWorldNews           |  5552 | magnitude 6.3  quake off canada's west coast: a magnitude 6.2 earthquake has struck off the west coast of canada... http://t.co/esw40fto    
     58 | twitter  | earthquake | djc9090                |    47 | rt @up_channel: magnitude 5.5 earthquake hits iran, usgs reports [photos] http://t.co/mjuhoe7r                                              
     59 | twitter  | earthquake | islandgirl11           |   271 | @tikkileigh it's constant. i guess it comes from being a mom living in an earthquake zone, waiting for the big one.                         
     60 | twitter  | earthquake | iampyroclastic         |    38 | 7.4 magnitude earthquake, south of champerico, guatemala. 11/7/2012                                                                         
     61 | twitter  | earthquake | TiaraPate              |     6 | earthquake ? wtf!                                                                                                                           
     62 | twitter  | terremot | nationwi               |    92 | me ha gustado un v\xeddeo de @youtube (http://t.co/ss88ff0x - primeras im\xe1genes: terremoto de 7,5 estremece guatemala).                  
     63 | twitter  | earthquake | vortexdiva             |    40 | rt @usgsearthquakes: 6.3 - vancouver island, canada region: date: thu, 08 nov 2012 02:01:51 utc\u2026 http://t.co/ihn5otll #usgs #earthquake
     64 | twitter  | earthquake | SimiTalwar2            |     3 | rt @yogurtbay: he moves and tosses the officer to one side who falls down and it feels like its an earthquake                               
     65 | twitter  | earthquake | Beanzerween            |    13 | rt @newstalk1010: us geological survey reports 6.3 magnitude earthquake near vancouver island.                                              
     66 | twitter  | earthquake | MikeM559CA             |   159 | iran got hit by an earthquake shit california next \U0001f633                                                                               
